Gene_Name	essential_mouse_knockout	non_essential_mouse_knockout
HIST2H3C	0	0
HIST2H2AA3	0	0
HIST2H2AA4	0	0
HIST2H3A	0	0
HIST2H4B	0	0
HIST2H2BE	0	0
BOLA1	0	0
HIST2H2AC	0	0
HIST2H2AB	0	0
SV2A	1	0
SF3B4	0	0
MTMR11	0	0
OTUD7B	0	0
VPS45	0	0
PLEKHO1	0	1
ANP32E	0	1
CA14	0	1
APH1A	1	0
C1orf54	0	0
C1orf51	0	0
MRPS21	0	0
AL138795.1	0	0
PRPF3	1	0
RPRD2	0	0
TARS2	0	0
ECM1	0	1
ADAMTSL4	0	0
AL356356.1	0	0
C1orf138	0	0
MCL1	0	1
ENSA	0	0
GOLPH3L	0	0
HORMAD1	0	1
CTSS	0	1
CTSK	0	1
ARNT	1	0
SETDB1	1	0
CERS2	0	1
ANXA9	0	0
FAM63A	0	0
PRUNE	0	1
BNIPL	0	0
C1orf56	0	0
CDC42SE1	0	0
MLLT11	0	0
GABPB2	0	1
SEMA6C	0	1
TNFAIP8L2	0	1
LYSMD1	0	0
SCNM1	0	0
TMOD4	0	0
VPS72	0	0
PIP5K1A	0	1
PSMD4	1	0
RP11-126K1.2	0	0
ZNF687	0	0
PI4KB	0	0
RFX5	0	1
SELENBP1	0	0
PSMB4	0	0
POGZ	0	0
CGN	0	0
TUFT1	0	0
SNX27	1	0
CELF3	0	1
RIIAD1	0	0
AL589765.1	0	0
MRPL9	0	0
OAZ3	0	1
TDRKH	0	0
LINGO4	0	0
RORC	0	1
C2CD4D	0	0
THEM5	0	0
THEM4	0	1
S100A10	0	1
S100A11	0	1
TCHHL1	0	0
TCHH	0	0
RPTN	0	0
HRNR	0	0
FLG	1	0
FLG2	0	0
CRNN	0	0
LCE5A	0	0
CRCT1	0	0
LCE3E	0	0
LCE3D	0	0
LCE3C	0	0
LCE3B	0	0
LCE3A	0	0
LCE2D	0	0
LCE2C	0	0
LCE2B	0	0
LCE2A	0	0
LCE4A	0	0
C1orf68	0	0
KPRP	0	0
LCE1F	0	0
LCE1E	0	0
LCE1D	0	0
LCE1C	0	0
LCE1B	0	0
LCE1A	0	0
LCE6A	0	0
SMCP	0	1
IVL	0	1
SPRR4	0	0
SPRR1A	0	0
SPRR3	0	0
SPRR1B	0	0
SPRR2D	0	0
SPRR2A	0	0
SPRR2B	0	0
SPRR2E	0	0
SPRR2F	0	0
SPRR2G	0	0
LELP1	0	0
PRR9	0	0
LOR	0	1
PGLYRP3	0	1
PGLYRP4	0	1
S100A9	0	1
S100A12	0	0
S100A8	1	0
S100A7A	0	0
S100A7L2	0	0
S100A7	0	0
S100A6	0	0
S100A5	0	0
S100A4	1	0
S100A3	0	0
S100A2	0	0
S100A16	0	0
S100A14	0	0
S100A13	0	0
S100A1	0	1
CHTOP	0	0
SNAPIN	1	0
ILF2	1	0
NPR1	0	1
INTS3	0	0
SLC27A3	0	0
GATAD2B	0	0
DENND4B	0	0
CRTC2	0	1
SLC39A1	0	1
CREB3L4	0	1
JTB	0	0
RAB13	0	0
RPS27	0	0
NUP210L	0	1
TPM3	1	0
C1orf189	0	0
C1orf43	0	0
UBAP2L	0	1
HAX1	0	1
AQP10	0	0
ATP8B2	0	0
IL6R	0	1
SHE	0	0
TDRD10	0	0
UBE2Q1	0	0
CHRNB2	0	1
ADAR	1	0
KCNN3	0	1
PMVK	0	0
PBXIP1	0	0
PYGO2	1	0
SHC1	1	0
CKS1B	0	1
FLAD1	0	0
LENEP	0	0
ZBTB7B	0	1
DCST2	0	0
DCST1	0	0
ADAM15	0	1
EFNA4	0	0
EFNA3	0	1
RP11-540D14.8	0	0
EFNA1	0	1
SLC50A1	0	0
DPM3	0	0
KRTCAP2	0	0
TRIM46	0	0
MUC1	0	1
THBS3	0	1
MTX1	0	0
GBA	1	0
FAM189B	0	0
SCAMP3	0	0
CLK2	0	0
HCN3	0	0
PKLR	0	1
FDPS	0	0
RUSC1	0	0
ASH1L	0	0
MSTO1	0	0
YY1AP1	0	0
DAP3	1	0
GON4L	0	1
SYT11	0	1
RIT1	0	0
KIAA0907	0	0
RXFP4	0	0
ARHGEF2	0	0
SSR2	0	0
UBQLN4	0	0
LAMTOR2	1	0
RAB25	0	1
MEX3A	0	0
LMNA	0	1
SEMA4A	0	1
SLC25A44	0	0
RP11-54H19.8	0	0
PMF1	0	0
BGLAP	0	0
PAQR6	0	0
SMG5	0	0
TMEM79	0	0
C1orf85	0	0
VHLL	0	0
CCT3	1	0
C1orf182	0	0
RHBG	0	1
C1orf61	0	0
MEF2D	0	0
IQGAP3	0	0
TTC24	0	0
APOA1BP	0	0
GPATCH4	0	0
HAPLN2	0	1
BCAN	0	1
NES	1	0
CRABP2	0	1
ISG20L2	0	0
RRNAD1	0	0
MRPL24	0	0
HDGF	0	1
PRCC	0	0
SH2D2A	0	1
NTRK1	1	0
INSRR	0	1
PEAR1	0	0
LRRC71	0	0
ARHGEF11	0	0
