SOX13,86.71,53.49,41.24,99.22,-,-,-,-,-,-,3,0.0047,1,2.58E-04,0.0101,18.23 [1.46 - 952.74],1,0.0016,0,0,0.14170,Inf [0.16 - Inf],5,0.0078,7,0.0018,0.0188,1,0.0016,4,0.001,0.5343
TESK2,68.44,71.38,63.28,100.00,-,-,-,-,-,-,3,0.0047,1,2.58E-04,0.0101,18.23 [1.46 - 952.74],1,0.0016,3,0.0007738,0.45740,2.02 [0.04 - 25.22],9,0.0141,18,0.0046,0.0094,0,0,1,0.0002579,1
SRRM1,9.68,19.35,21.59,91.41,-,-,-,-,-,-,3,0.0047,1,2.58E-04,0.0101,18.23 [1.46 - 952.74],3,0.0047,0,0,0.00280,Inf [2.51 - Inf],4,0.0062,4,0.001,0.0174,0,0,3,0.0007738,1
UCP3,73.61,80.56,84.16,93.49,-,-,-,-,-,-,3,0.0047,1,2.58E-04,0.0101,18.23 [1.46 - 952.74],1,0.0016,0,0,0.14170,Inf [0.16 - Inf],4,0.0062,9,0.0023,0.0999,0,0,0,0,1
GMCL1,24.19,33.56,52.48,83.54,-,-,-,-,-,-,3,0.0047,1,2.58E-04,0.0101,18.23 [1.46 - 952.74],0,0,1,0.0002579,1,0 [0 - 235.39],3,0.0047,2,0.0005159,0.0227,1,0.0016,2,0.0005159,0.3677
ZNF787,-,-,6.41,75.43,-,-,-,-,-,-,3,0.0047,1,2.58E-04,0.0101,18.23 [1.46 - 952.74],0,0,0,0,1,-,3,0.0047,2,0.0005159,0.0227,1,0.0016,1,0.0002579,0.2633
ZNF583,35.75,12.22,25.68,100.00,-,-,-,-,-,-,3,0.0047,1,2.58E-04,0.0101,18.23 [1.46 - 952.74],0,0,1,0.0002579,1,0 [0 - 235.39],3,0.0047,5,0.0013,0.0915,1,0.0016,2,0.0005159,0.3677
PNPLA1,93.63,80.31,89.54,96.14,-,-,-,-,-,-,3,0.0047,1,2.58E-04,0.0101,18.23 [1.46 - 952.74],1,0.0016,0,0,0.14170,Inf [0.16 - Inf],7,0.0109,10,0.0026,0.0059,0,0,2,0.0005159,1
RTCA,75.29,60.13,46.48,96.38,-,-,-,-,-,-,3,0.0047,1,2.58E-04,0.0101,18.23 [1.46 - 952.74],1,0.0016,1,0.0002579,0.26330,6.06 [0.08 - 474.34],3,0.0047,4,0.001,0.0637,1,0.0016,1,0.0002579,0.2633
SAMD9L,50.56,6.07,31.45,100.00,-,-,-,-,-,-,3,0.0047,1,2.58E-04,0.0101,18.23 [1.46 - 952.74],2,0.0031,4,0.001,0.20410,3.03 [0.27 - 21.22],6,0.0094,34,0.0088,0.8205,1,0.0016,5,0.0013,0.6004
PRIM1,56.92,80.58,53.02,100.00,-,-,-,-,-,-,3,0.0047,1,2.58E-04,0.0101,18.23 [1.46 - 952.74],0,0,0,0,1,-,4,0.0062,6,0.0015,0.0414,0,0,1,0.0002579,1
KIAA1211L,-,28.94,11.00,65.47,-,-,-,-,-,-,3,0.0047,1,2.58E-04,0.0101,18.23 [1.46 - 952.74],1,0.0016,0,0,0.14170,Inf [0.16 - Inf],4,0.0062,6,0.0015,0.0414,0,0,3,0.0007738,1
KCNA2,25.15,13.35,12.50,89.05,Yes,Yes,Yes,-,Yes,Yes,3,0.0047,1,2.58E-04,0.0101,18.23 [1.46 - 952.74],0,0,0,0,1,-,3,0.0047,1,0.0002579,0.0101,0,0,4,0.001,1
