,Gene_Name,mantis_ml_proba,mantis_ml_perc
588,ZIC1,0.666775256,96.84312252
589,VPS33B,0.666500021,96.83775368
590,DYNC2H1,0.666300308,96.83238484
591,NRP1,0.666258482,96.827016
592,ADCYAP1R1,0.666251125,96.82164716
593,OGDH,0.666034608,96.81627832
594,PROS1,0.666001266,96.81090948
595,HEXA,0.665997458,96.80554064
596,RBM12,0.665971794,96.8001718
597,LIMK1,0.665678955,96.79480296
598,CAST,0.665595936,96.78943412
599,SNAPIN,0.665472019,96.78406529
600,ATP2B2,0.665394917,96.77869645
601,GAP43,0.665383318,96.77332761
602,STIP1,0.665377986,96.76795877
603,NCAN,0.665172856,96.76258993
604,HERC2,0.665136623,96.75722109
605,TAP1,0.665056018,96.75185225
606,MAN2B1,0.664699452,96.74648341
607,KCNA2,0.664654518,96.74111457
608,BAD,0.664565862,96.73574573
609,PARP10,0.664364041,96.73037689
610,SRRT,0.664328444,96.72500805
611,PLCB1,0.664305762,96.71963921
612,SYNE1,0.664234552,96.71427037
613,HPCA,0.664057715,96.70890154
614,STIM1,0.664034753,96.7035327
615,GALT,0.664026646,96.69816386
616,POR,0.663921053,96.69279502
617,YBX3,0.663775878,96.68742618
618,CTSA,0.663668651,96.68205734
619,LINGO1,0.663595109,96.6766885
620,MTMR14,0.66355127,96.67131966
621,BMPR2,0.663503112,96.66595082
622,NGEF,0.663432544,96.66058198
623,ZNF335,0.66328093,96.65521314
624,NCOA1,0.663279426,96.6498443
625,RPS4X,0.663217899,96.64447546
626,CYCS,0.663108077,96.63910663
627,SOX9,0.663081534,96.63373779
628,POMT1,0.663069847,96.62836895
629,ITGA6,0.662717553,96.62300011
630,LIG4,0.662591092,96.61763127
631,MEF2A,0.662453905,96.61226243
632,CHRNA1,0.662349523,96.60689359
633,GCLC,0.662245282,96.60152475
634,TKT,0.662184105,96.59615591
635,JPH1,0.662130177,96.59078707
636,ARRB1,0.661917305,96.58541823
637,HNRNPA1,0.661905811,96.58004939
638,LAMA2,0.66183682,96.57468055
639,XRCC6,0.661699866,96.56931171
640,IVNS1ABP,0.661674839,96.56394288
641,INPP5E,0.66124176,96.55857404
642,LETM1,0.661238334,96.5532052
643,RICTOR,0.661119681,96.54783636
644,BIRC2,0.66104017,96.54246752
645,DCLK1,0.660649498,96.53709868
