Gene_Name	GOA_Kidney_Research_Priority
POSTN	Yes
POU3F2	Yes
POU3F2-B	Yes
POU3F3	Yes
POU3F4	Yes
POU4F2	Yes
PPARA	Yes
PPID	Yes
PPM1D	Yes
PPM1F	Yes
PPP1CA	Yes
PPP1CB	Yes
PPP1R12A	Yes
PPP1R16B	Yes
PPP3CB	Yes
PPP3CC	Yes
PPP4R1	Yes
PPP4R1L	Yes
PRAMEL3	Yes
PRCC	Yes
PRDM15	Yes
PRDX1	Yes
PRDX5	Yes
PREB	Yes
PRICKLE4	Yes
PRKACA	Yes
PRKAG2	Yes
PRKCA	Yes
PRKCB	Yes
PRKCG	Yes
PRKCSH	Yes
PRKX	Yes
PRNP	Yes
PRODH2	Yes
PROZ	Yes
PRRC2A	Yes
PSEN1	Yes
PSEN2	Yes
PSIP1	Yes
PSMB10	Yes
PSMB8	Yes
PTAFR	Yes
